,age,ld,lt,ndev,la,entrophy,nuc,fix,ns,exp
30,0.01666162702640823,0.046045380178935114,0.03535527110349867,0.13955639488634072,0.020802973381224,0.0810301415206329,0.18787851959953142,0.049205575615729635,0.06303861500366874,0.3613944284993989
31,0.026327664534424384,0.09312296618520013,0.11543142857230158,0.28288026008002676,0.06438792429432616,0.015464833384044368,0.7919346355385973,0.07842283367482783,0.106352599181518,0.2329466407947286
32,0.0,0.0,0.0358587868889737,0.16972673515826212,0.4806581509243268,0.8689120504397823,1.095923590755011,0.19175471019370074,0.0,0.08524654119541299
33,0.0,0.05054652747637128,0.319178433965229,0.16190998313568689,0.036850317103703144,0.6670017659559101,0.613580984811447,0.20502077684530878,0.0,0.2246953787006238
34,0.0,0.010809197781111269,0.7508960770296215,0.44984816586341725,0.0,0.4271504120698935,0.138222292770002,1.0685514236752498,0.0,0.45159024264189507
35,0.0,0.0,0.022004712882191423,0.0,0.0,0.0,0.16707770009812298,0.0,0.0,0.0
36,0.23745482252764794,0.0,0.03470366673574053,0.3639017453739191,0.0,0.540466463433888,1.0787257925069387,0.005107950672168445,0.29484770478918726,0.03978941414899291
37,0.010119261296923495,0.0379744915688487,0.3688040970835334,0.16732018750355218,0.021820052356973096,0.5670897773436386,0.9058028393031816,0.19662463931572896,0.14360652038844415,0.05025334443419706
38,0.0,0.051035956466075935,0.48065954635111635,0.9866044996556044,0.0,0.4455705055076089,1.029938495208218,0.17447437346119832,0.26695758532234104,0.11950486444194616
39,0.12943831960591498,0.0,0.42337617903301306,0.6206860075675746,0.0,0.3070903927094982,0.7715452864226714,0.7569721539462578,0.0,0.0
40,0.08438511313471386,0.27226990034016896,0.479595428186953,0.538569162516834,0.14201956612991895,0.4657256918832638,0.5999217611710382,0.7305758850232807,0.030708029988713578,0.029720133156819522
41,0.03120695388742729,0.011640651898532502,0.08409030798412565,0.15148942352915556,0.046552965619621516,0.39223139807313123,0.45586325890923174,0.7841082714743307,0.07304219727007956,0.1078550861265567
42,0.0,0.0,0.0,0.014957376720315161,0.0,0.0,0.07585338559514952,0.31268379717878325,0.0,0.17603377407312487
43,0.017268234079201392,0.0018736032350327822,0.012981788692171935,0.10121577305368235,0.024352413561038184,0.005728570649344885,0.13774825141610655,0.19880824730575317,0.06279826815427934,0.2301577859897495
44,1.1276531739483075e-16,0.0014078894113508224,0.3080911633753756,0.49030840641344803,0.08553603820296317,0.12688653259377017,0.40115963545352185,0.12566744260699478,0.047682336906158945,0.057814461260193364
