,age,exp,fix,la,ld,lt,ndev,ns,nuc,rexp,sexp
22,5.080177744754089e-24,4.437320028563792e-24,0.0,5.136427627990764e-24,4.876475606112541e-24,4.893839814306891e-24,1.5940839751803975e-24,1.528077018202163e-24,8.512688217632049e-24,5.5260888139619466e-24,4.885398394554755e-24
23,4.1797171297170785e-47,7.192265921725492e-47,0.0,6.861752298581436e-47,3.2662728062576127e-47,4.487221206243011e-47,2.947168250815346e-47,2.340952838204537e-47,4.568451136889733e-47,4.018086416441766e-47,7.066500063446099e-47
24,1.2841894754842433e-43,1.3255901051521823e-43,0.0,1.4048753063551927e-43,1.2806762220702642e-43,1.237415788205272e-43,3.3372680659107293e-44,3.1675250481775947e-44,1.9411191960093206e-43,1.2662291932928282e-43,1.302140934560572e-43
25,2.8288013127306374e-110,3.3242331340309604e-110,0.0,3.064819331791659e-110,5.750667566717626e-110,3.003644388136985e-110,7.0867235486853e-111,1.2252065568183395e-110,5.02257339905331e-110,3.5635691514327034e-110,2.9643540907197e-110
26,5.586269728079499e-128,5.295130035120569e-128,4.288216279072004e-125,5.528964698210349e-128,5.346059577834548e-128,5.233473418149996e-128,1.7588788133793195e-128,1.9577596079326094e-128,9.261771769276806e-128,6.399368445475775e-128,5.333753495854227e-128
27,4.5124426782924603e-100,4.3331722861483414e-100,0.0,4.5455589202471545e-100,4.87274531242086e-100,4.677523655825382e-100,9.888121573866793e-101,1.8006657458285525e-100,8.422364037926091e-100,5.593187540781684e-100,4.5715938319322293e-100
28,9.181450203078439e-89,8.581865859101672e-89,0.0,8.896371628154023e-89,7.736474849099395e-89,8.926132997522643e-89,2.746407079328716e-89,3.228090751369395e-89,1.5183760267068754e-88,1.0615104530667228e-88,9.181483143151604e-89
29,5.349391686421639e-63,6.44624956237575e-63,0.0,5.636419939088965e-63,5.271718785338046e-63,5.601131545322752e-63,1.5069562941223922e-63,1.7753596022193656e-63,1.026022885955168e-62,6.391849811794174e-63,5.299200872193497e-63
30,4.009048402399658e-77,4.220603134569481e-77,0.0,4.074132985946328e-77,4.404359131533729e-77,3.969536045362436e-77,1.328005344033598e-77,1.6091696604916611e-77,7.849709240336674e-77,5.321148091887959e-77,4.532610200863954e-77
31,2.517046389515275e-88,3.310130113013643e-88,0.0,3.553697924366362e-88,2.981310054063288e-88,3.041376455758512e-88,1.4331460712686032e-88,6.400953387117006e-89,4.527522188634646e-88,3.5175486076083364e-88,2.9386919509774055e-88
32,2.7353528202229194e-167,2.5722864407147958e-167,0.0,2.7601800577554466e-167,2.62658563061652e-167,2.6830005840241264e-167,9.307133168680099e-168,9.427499749669896e-168,4.534780601511841e-167,2.9435332155729212e-167,2.7587710878428097e-167
